Pleasantville	tt0120789
Dark Crystal The	tt0083791
Khumba	tt1487931
Son of God	tt3210686
Grand Budapest Hotel The	tt2278388
Immigrant The	tt1951181
Railway Man The	tt2058107
This is Where I Leave You	tt1371150
grande bellezza La	tt2358891
Frontera 	tt2510028
Blood Ties 	tt1747958
Gods Not Dead	tt2528814
Hot Tub Time Machine 2	tt2637294
Cheap Thrills	tt2389182
Blue Ruin	tt2359024
Joe 	tt2382396
Palo Alto	tt2479800
Snowpiercer	tt1706620
Skeleton Twins The	tt1571249
Manhattan	tt0079522
Word The	tt5023260
Ida	tt2718492
Jimi All is By My Side	tt2402085
Anna	tt1781769
Water and Power 	tt2052015
insolitos peces gato Los	tt2414046
Test	tt2407380
Faith Connections	tt2768766
Trudno byt bogom	tt2328813
Guten Tag Ramon	tt2876428
R100	tt2914838
Young and Prodigious TS Spivet The	tt1981107
Hross i oss	tt3074732
navaja de Don Juan La	tt1349485
Menino e o Mundo O	tt3183630
Enders Game	tt1731141
Foodfight	tt0249516
Madagascar 3	tt1277953
Pompeii	tt1921064
Fracture	tt0488120
Romeo and Juliet	tt0063518
Brave	tt1217209
Man of Steel	tt0770828
Hobbit An Unexpected Journey The	tt0903624
Rise of the Guardians	tt1446192
Star Trek Into Darkness	tt1408101
Monsters University	tt1453405
Twilight Saga Breaking Dawn Part 2 The	tt1673434
Elysium	tt1535108
Dark Knight Rises The	tt1345836
Wrath of the Titans	tt1646987
Die Hard 5	tt1606378
Secret Life of Walter Mitty The	tt0359950
Middle of Nowhere	tt1032817
Host The	tt1517260
Escape Plan	tt1211956
Total Recall 	tt1386703
First Sunday	tt0486578
Gravity	tt1454468
Evil Dead Remake	tt1288558
Great Gatsby The 	tt1343092
G I Joe Retaliation	tt1583421
Iron Man 3	tt1300854
Pain and Gain	tt1980209
Ice Age Continental Drift	tt1667889
Skyfall	tt1074638
Resident Evil Retribution	tt1855325
Wreck It Ralph	tt1772341
Expendables 2 The	tt1764651
Trance 	tt1924429
American Reunion	tt1605630
Think Like a Man	tt1621045
What to Expect When Your Expecting	tt1586265
Zero Dark Thirty	tt1790885
Mama	tt2023587
Oblivion 	tt1483013
Family That Preys The	tt1142798
Uptown Girls	tt0263757
Savages	tt1615065
Fast and Furious 6	tt1905041
Texas Chainsaw 3D	tt1572315
Last Stand The	tt1549920
Fun Size	tt1663143
Matchstick Men	tt0325805
Walking with Dinosaurs	tt1762399
Diary of a Wimpy Kid Dog Days	tt2023453
Argo	tt1024648
Brave One The	tt0476964
Heartbreak Kid The 	tt0408839
Anna Karenina 	tt1781769
Miserables Les 	tt1707386
Taxi 	tt0152930
After Earth	tt1815862
Accepted	tt0384793
Vegas Vacation	tt0120434
Chasing Mavericks	tt1629757
Parental Guidance	tt1047540
I Frankenstein	tt1418377
Warm Bodies	tt1588173
National Security	tt0271668
Sinister	tt1922777
Broken City	tt1235522
Magic Mike	tt1915581
Silver Linings Playbook	tt1045658
Sparkle 	tt1876451
Peeples	tt1699755
Pink Panther 2 The	tt0838232
To Rome with Love	tt1859650
Serbuan maut	tt1899353
Paranormal Activity 4	tt2109184
Murder on the Orient Express 	tt3402236
Words The	tt1840417
Grown Ups 2	tt2191701
Escape From Planet Earth	tt0765446
Trouble with the Curve	tt2083383
Alex Cross	tt1712170
Ringer The	tt0884732
Beautiful Creatures 	tt1559547
Blue Like Jazz	tt1758575
Beasts of the Southern Wild	tt2125435
Safety Not Guaranteed	tt1862079
For a Good Time Call	tt1996264
End of Watch	tt1855199
Cirque du Soleil Worlds Away	tt1792647
