num,imdb_id,number_of _posters
1308,tt0309530,15
1309,tt1695791,1
1310,tt1991245,23
1311,tt1592873,22
1312,tt1661420,15
1313,tt0118750,5
1314,tt1422136,10
1315,tt1687901,27
1316,tt1437358,20
1317,tt1853739,25
1318,tt0085276,10
1319,tt1756851,14
1320,tt1282046,2
1321,tt1640711,21
1322,tt1415283,30
1323,tt0119214,12
1324,tt1261945,27
1325,tt0376136,64
1326,tt0824758,14
1327,tt1375666,99
1328,tt0795368,18
1329,tt0067800,26
1330,tt1385867,33
1331,tt0433362,35
1332,tt0963966,64
1333,tt0493949,17
1334,tt0970866,50
1335,tt1320261,42
1336,tt1279935,39
1337,tt7448180,7
1338,tt0814255,59
1339,tt0429493,59
1340,tt0990407,45
1341,tt0120841,19
1342,tt1323594,107
1343,tt0455407,30
1344,tt0938283,50
1345,tt1229827,4
1346,tt1003034,7
1347,tt0337587,4
1348,tt0964517,41
1349,tt0452702,23
1350,tt0034398,22
1351,tt0944835,38
1352,tt1325004,68
1353,tt0120773,8
1354,tt1075747,27
1355,tt1320253,81
